Guid,Name,SBQQ__Rule__c,SBQQ__Field__c,SBQQ__Formula__c,SBQQ__Order__c,SBQQ__ParentRuleIsActive__c,SBQQ__RuleLookupObject__c,SBQQ__RuleTargetsCalculator__c,SBQQ__SourceLookupField__c,SBQQ__SourceVariable__c,SBQQ__TargetObject__c,SBQQ__ValueField__c,SBQQ__Value__c
e3b0b2f9-37ba-446c-8756-31b9ab2f5bc8,78,6fe97c32-7928-4c45-ae8a-158c621d9b14,Discretionary_Discount_Percent__c,"100.0 * if( SBQQ__RegularPrice__c =0, 0, ( SBQQ__NetPrice__c -SBQQ__RegularPrice__c)/(-1.0 * SBQQ__RegularPrice__c))",1.0,false,Approval_Threshold__c,true,#N/A,#N/A,Quote Line,#N/A,#N/A
f38ab5c8-852e-45d4-b7ac-8935ebf573e9,80,dbafaec1-06f5-459d-8fee-05abcc10d1ae,SBQQ__Quantity__c,Protected_Devices__c,1.0,false,#N/A,true,#N/A,#N/A,Quote Line,#N/A,#N/A
45a030d3-9b68-4c8f-a2a0-95cd5f592cb8,81,e4adeeff-e89f-4eeb-9a66-d968931382f8,SBQQ__Quantity__c,SBQQ__ProductOption__r.Protected_Devices__c,1.0,false,#N/A,false,#N/A,#N/A,Product Option,#N/A,#N/A
c0534374-d93c-408b-93fa-9bb990a3d295,82,ec524a03-1e8a-4ee6-8247-591b7d5d6da0,Discretionary_Discount_Decimal__c,"if( SBQQ__RegularPrice__c =0, 0, ( SBQQ__NetPrice__c -SBQQ__RegularPrice__c)/(-1.0 * SBQQ__RegularPrice__c))",2.0,false,Approval_Threshold__c,true,#N/A,#N/A,Quote Line,#N/A,#N/A
02f260ae-5936-4404-9c10-1c700c238927,83,00893831-60dc-4ea2-97c8-045fce769e2d,Discretionary_Discount_Decimal__c,"if( SBQQ__RegularPrice__c =0, 0, ( SBQQ__NetPrice__c -SBQQ__RegularPrice__c)/(-1.0 * SBQQ__RegularPrice__c))",#N/A,false,#N/A,true,#N/A,#N/A,Quote Line,#N/A,#N/A
2b3b8123-f2a0-4df9-bde1-94f801cb7b23,84,8c42c170-75a1-49e1-9ef4-bdee1b8b0108,SBQQ__RenewalUpliftRate__c,#N/A,#N/A,false,#N/A,true,#N/A,#N/A,Quote,#N/A,3
861d06d4-de03-4c33-a109-e8931d6db839,85,0534d38c-d8e7-414d-8ff6-8cebc9592ccc,Discretionary_Discount_Decimal__c,"if( SBQQ__RegularPrice__c =0, 0, ( SBQQ__NetPrice__c -SBQQ__RegularPrice__c)/(-1.0 * SBQQ__RegularPrice__c))",#N/A,false,#N/A,true,#N/A,#N/A,Quote Line,#N/A,#N/A
91136661-671b-4a0e-88cc-a96fd13054e7,87,19adb92a-9fcf-4d45-9881-d7782014d774,SBQQ__Quantity__c,Protected_Devices__c,1.0,false,#N/A,true,#N/A,#N/A,Quote Line,#N/A,#N/A
feee8d84-4d67-41ec-8c24-b37ae08ac0e6,89,6fe97c32-7928-4c45-ae8a-158c621d9b14,Discretionary_Discount_Decimal__c,"if( SBQQ__RegularPrice__c =0, 0, ( SBQQ__NetPrice__c -SBQQ__RegularPrice__c)/(-1.0 * SBQQ__RegularPrice__c))",2.0,false,Approval_Threshold__c,true,#N/A,#N/A,Quote Line,#N/A,#N/A
91e68129-8e96-44a7-8602-1d76c80787b3,90,2f541793-cd7b-4a10-b8f4-e2f0fcc84853,Unit Price,#N/A,#N/A,false,#N/A,false,#N/A,#N/A,Product Option,#N/A,123
